matchup_key,count,off_archetypes,def_archetypes,w_pct,plus_minus,off_rating,pace,ast_pct,ast_to,ast_ratio,pct_fga_2pt,pct_fga_3pt,pct_pts_2pt_mr,pct_pts_3pt,pct_pts_fb,opp_tov_pct,opp_oreb_pct,supercluster_id
0_1_3_3_6_3_3_5_6_6,46,[0],"[1, 3, 3, 6, 3, 3, 5, 6, 6]",0.45823108322069084,9.75248283773362,110.9433409934942,101.35638953018349,57.046203834160444,1.5067459166215498,16.810715191492168,0.49863292857519353,0.3744376206853892,0.23925532180612533,0.3499415532694916,0.061891545035554156,14.297070819508313,26.558774375611897,4
0_1_3_3_6_3_3_4_5_6,29,[0],"[1, 3, 3, 6, 3, 3, 4, 5, 6]",0.3508425022893055,-3.477871732028497,105.37998602312236,103.21729354196427,57.5218537799288,1.6744084936670656,23.364043016157513,0.523947975790835,0.36306796216383397,0.14362444372364663,0.4113704838249216,0.08793415803374509,13.914604396924531,27.360009303979112,3
0_1_3_3_6_3_4_5_5_6,1,[0],"[1, 3, 3, 6, 3, 4, 5, 5, 6]",0.512177339011969,-7.499424532521672,101.53969093384664,100.66244210032147,54.460471669975256,2.124906868990646,20.76012143746817,0.4299168228722395,0.32254504081060564,0.13280913794991997,0.40737092955777465,0.07084966730344536,12.241568648756278,26.792704124846235,0
0_3_3_4_6_3_4_5_5_6,44,[0],"[3, 3, 4, 6, 3, 4, 5, 5, 6]",0.5102294417874328,-6.220433463971535,102.74306176073648,96.42012116714655,67.73221373066312,1.525241039341733,24.228137430124484,0.47490948279870154,0.31371999617472224,0.14327523686713722,0.3274495936881205,0.08785372393568414,15.839185661277357,21.961258093073965,1
0_3_4_6_6_3_4_5_5_6,13,[0],"[3, 4, 6, 6, 3, 4, 5, 5, 6]",0.3646414560121421,2.0073763822982116,108.22929115485823,104.93666414413357,68.67828490673644,2.38796578896907,22.380434202209216,0.6984835736648146,0.4925649865140183,0.20199865066898406,0.4287814062530383,0.10382352246610328,17.645425827753172,24.175601328962337,5
0_3_4_6_6_3_4_5_6_6,29,[0],"[3, 4, 6, 6, 3, 4, 5, 6, 6]",0.3115770635581918,5.264165058707997,119.91719598726802,95.45386240987366,64.20530542980535,2.4967982076417323,18.502835709691002,0.6308235060854424,0.5445450395988628,0.22595043997919556,0.36237650038951524,0.1054296294446818,14.575564056077061,20.298789339239296,1
0_0_3_4_6_3_4_5_6_6,24,[0],"[0, 3, 4, 6, 3, 4, 5, 6, 6]",0.46063868089468135,-5.969911696192376,116.16249411228416,104.4427823505831,51.074955537437475,2.1406303722457705,20.771177452463633,0.523997942253945,0.5074607773686288,0.2236468606295571,0.33784250452483333,0.1326885463725849,15.088993652145358,26.69714869325498,5
0_0_3_4_6_3_5_5_6_6,1,[0],"[0, 3, 4, 6, 3, 5, 5, 6, 6]",0.48077762797033374,-2.790372851276073,101.36521355910574,96.7253473581049,61.0612109112628,1.876948536827171,23.953962396955962,0.6898895750351722,0.35107748280509277,0.20497264446763966,0.3138089119311598,0.10699120325760914,14.351335424219261,29.512353717687144,2
0_3_3_4_6_3_5_5_6_6,16,[0],"[3, 3, 4, 6, 3, 5, 5, 6, 6]",0.3219202145540898,8.662208909783542,118.75702084315245,97.54425037121499,52.528866325687574,1.9215517145590124,19.125205738588857,0.42924025270112215,0.41040874215268197,0.2593470928680118,0.4364340399128396,0.12943027223881826,17.998729918100466,23.058682523611726,4
0_3_3_4_6_3_3_4_5_5,24,[0],"[3, 3, 4, 6, 3, 3, 4, 5, 5]",0.5334668432525825,-1.2458615634765402,106.81003873321754,104.29090531373375,59.37402754888975,1.7804811885381997,18.32344619611106,0.5571972582435131,0.34622069040885145,0.18059318935945504,0.48110788927025827,0.07119966741975171,17.583535196773347,27.158027243465416,4
