outcome,matchup_id,z_off_0,z_def_0,z_off_1,z_def_1,z_off_2,z_def_2,z_off_3,z_def_3,z_off_4,z_def_4,z_off_5,z_def_5,z_off_6,z_def_6,z_off_7,z_def_7
0.0,1_vs_1,0.0,0.0,0.0,-0.8180101339,0.0,0.0,0.0,0.0,2.9804732094,0.5444020153,0.0,-0.1921899008,0.0,0.0,-2.59640054726,2.5403917735999997
1.0,5_vs_1,0.0,0.0,0.0,-0.7807454969,0.0,2.138752498,0.0,0.0,7.393293704,0.0,0.0,0.0,0.1561603063,0.02350161715,-0.6288379096000001,3.229917567
0.0,1_vs_1,0.0,0.0,-0.564993009,-0.5845878442,0.0,0.0,0.0,0.0,0.0,-1.213586207,-3.560924455,0.415858573,-1.18246489,0.0,-0.8702886924,-0.9970078342
0.0,2_vs_3,0.0,0.0,0.0,-0.15314778612,0.0,0.0,0.0,0.0,0.0,0.0,-4.8618661495,0.0,0.8000016411,-0.5214084083,-1.440504772,0.0
0.0,1_vs_3,0.0,0.0,0.0,0.0,0.6456618494,0.5106497626,0.0,0.0,3.158191699,-1.297072249,0.2740983708,0.0,0.0,-0.4703209985,0.02961064103,0.6258128632
0.0,4_vs_3,0.0,0.0,-4.123612607,0.9413232373,0.0,1.142000599,0.0,0.0,4.707385912,-0.2298011281999999,0.2651578481,0.0,0.0,0.0,1.332830855,0.0
0.0,1_vs_5,0.0,0.0,0.0,0.0,-0.457121815,0.0,0.0,0.0,3.158191699,0.1421067532,0.0,0.0,-1.500639478,1.292511186,-1.389031974,3.150605356
0.0,1_vs_0,0.0,0.0,0.6486340713,-0.1447639716,0.0,1.4234080557,0.0,0.0,2.874354456,-1.700602499,0.03557634357,1.213471309,0.0,0.0,-2.28863581686,0.0
0.0,2_vs_4,-3.398817201,0.0,0.0,0.0,0.0,3.4153305922,0.0,0.0,0.9093578357,-0.444900289,-1.571023507,0.0,0.2536516778,0.0,0.0,1.1774289253
0.0,2_vs_1,0.0,0.0,0.0,0.0,0.6456618494,-0.4717703191,0.0,0.0,3.733261107,-2.420954988,0.2740983708,-0.9508862969,0.0,0.0,0.99133054163,-1.419672787
1.0,4_vs_5,0.0,0.0,-3.4537313734,0.0,3.776562898,0.0,0.0,0.0,0.0,-2.1868797729,0.0,0.5897884198,-0.7216288553,0.0,0.9763675743,-1.500339775
0.0,0_vs_2,0.0,0.0,-0.9206277491,0.3406073941,-2.7865762825,3.4153305922,0.0,0.0,0.0,0.0,0.0,0.0,-1.9089913376,0.0,0.0,1.3412472266
3.0,0_vs_4,0.0,0.0,0.0,-1.1805226002100002,0.0,0.0,0.0,0.0,3.733261107,0.6244685381,-0.1014687692999999,0.0,0.0,0.1955093259999998,2.4342656500000004,0.0
0.0,1_vs_1,0.0,0.0,-1.011669547,-0.6338641187,0.0,2.429580972,0.0,0.0,0.0,0.0,-2.4389436824,0.0,-1.950707004,-1.104213553,0.0,1.3412472266
0.0,4_vs_2,0.0,0.0,-0.9755668001,0.0,0.0,0.0,0.0,0.0,1.212820991,0.0,-1.833023787,0.3140905730999999,0.0,-0.7743123226,0.2495536123,-1.026716375
0.0,2_vs_3,0.0,0.0,0.0,0.0,0.0,0.4555163256,0.0,0.0,2.771714739,-0.5626090272,-1.108439838,0.0,-2.002985445,-0.7920057569,-1.249803989,0.0692510630099999
0.0,2_vs_0,0.0,0.0,0.3397075995,0.3361694326,0.0,2.752754536,0.0,0.0,5.957538056,1.58257820987,-1.5404610763000002,0.0,0.0,0.05297567849,0.3335093539,0.0
0.0,1_vs_2,0.0,0.0,0.0,0.0,0.3524543958,0.1100848631,0.0,0.0,0.0,-1.365113949,-1.845429819,-0.2665660557,1.1026849071,0.0,-0.9926330857,-2.069913254
0.0,1_vs_5,0.0,0.0,0.6486340713,0.0,0.0,0.0,0.0,0.0,2.874354456,0.0,-0.9126873048,-0.2455982054,0.0,0.07905737438,-0.40676448426,-4.1606660299
0.0,4_vs_4,0.0,0.0,-0.8278517882,0.0,-0.2843555514,3.4153305922,0.0,0.0,4.245232476,-0.444900289,-1.093982097,0.0,0.0,0.0,-0.764130482,1.1774289253
0.0,3_vs_1,0.0,0.0,-1.602500345,0.009539225593,0.2967251591,0.0,0.0,0.0,0.0,0.0,-0.1859492282,1.2810077833,0.1561603063,-0.522728482,-0.1910800428,0.0
0.0,4_vs_4,0.0,0.0,0.0,1.475356019,0.0,1.142000599,0.0,0.0,0.0,0.6634524167,-0.1014687692999999,0.0,-0.454384706,0.0,1.3307324370300002,-0.5545271321
0.0,1_vs_1,0.0,0.0,0.0,-0.7881471186,0.0,1.154177977,0.0,0.0,1.357000491,0.0,-3.2539024110000003,0.0,-1.946384442,0.5672650572,-0.2789598762,0.283235495
0.0,2_vs_4,0.0,0.0,-1.3530050154,2.0568561335,0.0,0.0,0.0,0.0,5.933188091,0.0,0.0,0.224404099,0.0,0.0,-0.764130482,-0.8512320348
0.0,0_vs_3,0.0,0.0,-3.967859007,0.0,0.0,0.6493210205,0.0,0.0,4.084147748,-1.240979656,0.0,0.0,0.0,-1.450897369,0.6345333417,-1.3430959306
0.0,1_vs_4,0.0,0.0,0.256254761,0.0,0.0,0.0,0.0,0.0,0.1061187534,0.0,-0.9126873048,-0.2455982054,0.0,-1.37183999462,-0.40676448426,-2.3909117737
0.0,4_vs_1,0.0,0.0,0.0,0.0,0.0,0.6443427478,0.0,0.0,4.693518855,-1.066816042,0.2055595201,0.0,0.7720699245,0.0,-0.2496898657999999,-2.0268835047
0.0,3_vs_5,0.0,0.0,-3.126138442,-1.110504859,0.0,-0.4717703191,0.0,0.0,1.835368846,-3.569742102,-0.1859492282,0.3132575271,0.1561603063,0.0,0.0,0.0
1.0,3_vs_1,0.0,0.0,0.0,0.0,-0.8979834604,0.4555163256,0.0,0.0,2.509345633,-0.4100773591,0.0,0.0,0.5235293462,0.0,-1.8753738432,2.1201002643099995
1.0,5_vs_2,0.0,0.0,0.0,0.9839605241,0.0,0.0,0.0,0.0,0.0,-0.4376579896,-0.6514949866,0.5653957471,-0.7216288553,-0.7920057569,0.3999005995999999,0.1362960626
0.0,1_vs_1,0.0,0.0,-0.6636321517,0.0,0.3524543958,1.154177977,0.0,0.0,0.0,-0.1199580612,0.0,0.0,-0.1928632201,0.0,2.5978731911,-0.583065182
2.0,2_vs_1,0.0,0.0,0.0,0.0,0.6456618494,3.210492495,0.0,0.0,3.733261107,-0.7367472957000001,-2.696781736,0.0,0.0,0.4100250764,1.3307324370300002,0.6080539016
0.0,2_vs_1,0.0,0.0,0.0,0.6268519709,0.6857397616,0.0,0.0,0.0,4.083000419,0.0,-1.149228179,0.0,0.0,-0.8208309859,1.4426647346,3.4705903550999997
0.0,3_vs_2,0.0,0.0,0.0,0.009539225593,0.0,0.0,0.0,0.0,0.0,-0.4905865615,-1.3056789815999998,1.6184159879,-2.99511253,0.0,0.4296026156,-0.3297998701
0.0,4_vs_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7564348503,-0.7350777072,0.2480333664,0.0,0.0,-1.717447206,-1.3533187481000002,0.3257203826
0.0,1_vs_0,0.0,0.0,-2.520801339,0.0,0.0,0.6493210205,0.0,0.0,4.084147748,0.0,0.0,-0.3805360697,-0.7216288553,-1.450897369,0.6345333417,-1.3430959306
0.0,0_vs_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3666725,-1.1152079448,0.0,3.5599592170000003,1.7374034398,-0.2212018281,-1.6805645281,0.0
0.0,5_vs_3,0.0,0.0,0.0,0.1984053583,0.0,1.154177977,0.0,0.0,4.866410811,-0.8757359109,0.0,0.0,0.5235293462,-0.9447488913,-1.1818292347,0.0
0.0,4_vs_4,0.0,0.0,0.6890091709,0.0,0.7856564628,1.385560726,0.0,0.0,4.076760475,0.0,0.0,0.0,0.0,0.3668926471,-0.8300991514,-0.5390400089
0.0,2_vs_2,0.0,0.0,0.0,-0.2898153321000001,-0.457121815,0.0,0.0,0.0,3.158191699,-1.700602499,-0.236038537,1.6943453629,0.4383824912,0.0,0.0,0.0
0.0,2_vs_0,0.0,0.0,0.0,0.7124399017,-1.231569197,1.974059133,0.0,0.0,0.7614137342,-0.4814958089,-1.977899687,0.0,0.0,-0.2572847163,-1.7586364884,0.0
